RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
376956,Sarah's Beef Stroganoff,1000041,themusicteach,45.0,15,60,2009-06-12T12:35:00Z,Make and share this Sarah's Beef Stroganoff recipe from Food.com.,Meat,"c(""< 60 Mins"", ""Easy"")","c(""1"", ""1"", ""1"", ""1"", ""1"", NA)","c(""sour cream"", ""mushrooms"", ""Worcestershire sauce"", ""spaghetti"")",,,1084.5,76.9,35.6,272.7,1031.9,26.4,2.3,12.9,71.4,,,"""Brown the beef and onion in garlic.  Add remaining ingredients (except spaghetti) and simmer for at least 45 minutes.  Serve over spaghetti."""
521312,Granola Bars (Gluten Free),1803668022,tanish,20.0,15,35,2015-03-07T01:40:00Z,"A bar that is very versatile, the options are endless, depending on your taste buds. For a nut free bar - sub raisins for the almonds and school safe &quot;Wow butter&quot; for the peanut butter.",Free Of...,"c(""< 60 Mins"", ""For Large Groups"", ""Easy"")","c(""4"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1"", ""1 1/2"", ""2"", ""1 1/2"", ""1"")","c(""quinoa"", ""oats"", ""unsweetened coconut"", ""dried cranberries"", ""butter"", ""brown sugar"", ""vanilla extract"", ""golden syrup"")",,,344.8,15.6,9.1,15.2,65.7,48.1,4.5,20.0,6.2,32.0,32 bars,"c(""Lightly grease a 12 inch x 18 inch baking sheet."", ""In a very large bowl mix together the first 7 dry ingredients."", ""In a separate mixing bowl, cream together the butter, peanut butter, brown sugar and vanilla until smooth."", ""On a low speed, slowly mix in the golden corn syrup. High speed may cause separation."", ""Add the moist to the dry ingredients, mixing by hand until well blended."", ""Evenly press into the baking sheet."", ""Bake @350F for about 20 minutes."", ""The baking time may vary depending on if you like a moist or chewy bar."", 
""Cool slightly, cut into portion sizes. Freeze."", ""Check out our website  ourfavoriteglutenfreerecipes.info  for more \""delicious recipes missing the gluten but not the flavor\""."")"
132584,Potato Casserole,58948,southern_gal12000,60.0,30,90,2005-08-08T20:30:00Z,"Taken from Tasteful Traditions Cookbook by Women for Abilene Christian University. These are &quot;Linda's Potatoes&quot; and they are  delicious with steak and prime rib. I have made this dish dozens of times and it always comes out perfect. This dish is great for holidays and dinner parties because they are very rich tasting and even picky kids love them. This can be made ahead of time, chilled and then cooked before serving.",Potato,"c(""Cheese"", ""Vegetable"", ""Oven"", ""Beginner Cook"", ""< 4 Hours"", ""Easy"")","c(""8"", ""1/2"", NA, ""1"", ""2 -4"", ""16"", ""8"", NA)","c(""potatoes"", ""butter"", ""margarine"", ""onion"", ""milk"", ""sour cream"", ""cheddar cheese"", ""bacon"")",5.0,5.0,623.7,33.2,20.4,92.0,350.1,68.0,8.3,5.7,16.2,,,"c(""Mash potatoes with butter or margarine, salt, pepper, onion and milk."", ""Add sour cream."", ""Mix in 1/2 of the cheese."", ""Pour into a large casserole dish."", ""Sprinkle remaining cheese on top."", ""Bake 15 minutes at 350 degrees Fahrenheit."", ""Top with crumbled bacon."", ""If prepared ahead of time and chilled, bake 45 minutes at 350 degrees Fahrenheit or until bubbly."")"
519582,Mediterranean Roasted Chicken and Veggies,1298498,Lizzie Rodriquez,25.0,20,45,2014-11-20T01:07:00Z,Make and share this Mediterranean Roasted Chicken and Veggies recipe from Food.com.,< 60 Mins,,"c(""2"", ""2"", ""2"", ""1/2"", ""1"", ""1"", ""1"", ""1"", ""2"", ""2"", NA)","c(""chicken breasts"", ""pepper"", ""red bell pepper"", ""red onion"", ""zucchini"", ""eggplant"")",,,286.4,17.6,3.7,72.6,76.0,6.9,3.2,3.4,25.0,8.0,,"c(""Preheat oven to 400°F."", ""Mix day of cooking ingredients and pour onto a baking sheet, roast for 20 minutes or until veggies are tender."", ""Meanwhile preheat a grill or grill pan to medium high heat. Cook breasts about 5 minutes each side."", ""Serve with a starch or salad."")"
228928,Italian Beef,27702,Lisa1,180.0,20,200,2007-05-20T16:52:00Z,Make and share this Italian Beef recipe from Food.com.,Meat,"c(""Very Low Carbs"", ""< 4 Hours"", ""Easy"")","c(""4"", ""1"", ""2"", ""2"", ""4"", ""1"", ""1"", ""3"", ""1 -3"", ""2"", NA)","c(""beef roast"", ""water"", ""onions"", ""beef bouillon cubes"", ""oregano"", ""thyme"", ""Tabasco sauce"", ""garlic clove"", ""Worcestershire sauce"", ""cooked rice"")",,,1211.1,89.2,36.1,313.3,1367.3,12.2,1.6,5.8,85.0,,,"c(""Place roast in a large soup pot or Dutch oven."", ""Put pepperoncini peppers and water in a blender.  Blend until finely chopped (Chop option, aprox 10 seconds)."", ""Pour over roast."", ""Add remaining ingredients (except rice and buns, of course!)."", ""Bring to a  boil."", ""Reduce heat to low.  Cover and simmer 3 hours, turning roast every 30 minutes."", ""Remove from heat.  Allow to cool."", ""Remove roast and shred meat."", ""Return meat to pot."", ""Heat through."", ""Serve over hot, cooked rice or on hoagie buns.""
)"
164480,Aztec Gold Chili,206101,Recipe Junkie,45.0,10,55,2006-04-15T14:28:00Z,One of the great things about chili is all the interesting ingredients that different people put in it. This is a delicious chili that I found in a garage sale cookbook that was falling apart. I saved the recipes that looked good to me and this was one of them. Super good!,Native American,"c(""Mexican"", ""< 60 Mins"")","c(""1"", ""2"", ""2"", ""3 -6"", ""1"", ""1"", ""1"", ""1/2"", ""1/2"", ""1"", ""2"", ""2"", ""2"", ""2"", ""1/2"")","c(""garlic cloves"", ""onions"", ""chili powder"", ""ground cumin"", ""oregano"", ""cinnamon"", ""black pepper"", ""cayenne pepper"", ""salt"", ""ground turkey"", ""diced tomatoes"", ""pinto beans"", ""green peppers"")",5.0,2.0,553.8,18.1,4.8,119.5,881.1,58.9,18.9,9.2,42.8,,,"c(""Combine first ten ingredients in microwave safe dish."", ""Microwave on high for 2 and 1/2 minutes."", ""Stir in 1-2 T water if mixture becomes too dry."", ""Microwave on high 2 and 1/2 to 3 minutes or till onions are tender crisp."", ""Let stand 3 minutes."", ""Stir in turkey."", ""Microwave on high 10-13 minutes or til turkey is partially done, stirring once."", ""Add tomatoes, beans, peppers and chocolate."", ""Mix well."", ""Microwave on medium for 40 minutes, stirring twice."", ""Serve with sour cream, grated cheese, diced onions and tortilla chips.""
)"
96054,Beef Jerk Burgers ( Caribbean),106624,andypandy,6.0,5,11,2004-07-21T19:59:00Z,"serve in crusty rolls with tomato and lettuce, potato salad on the side. Try with caribbean coleslaw too.",Meat,"c(""Caribbean"", ""< 15 Mins"", ""Easy"")","c(""1"", ""1"", ""3"", ""2"", ""2"")","c(""ground beef"", ""egg"", ""sweet white onions"")",5.0,4.0,306.3,18.8,7.2,130.0,170.3,8.2,0.6,1.0,24.1,4.0,,"c(""Combine egg, crumbs, onion, and jerk seasoning."", ""Add in the ground beef and mix well."", ""Shape into patties and grill or pan fry."", ""Serve in a crusty roll with fresh tomato slice and mayo, and lettuce."")"
508682,Gemelli With Wilted Mustard Greens,283251,dicentra,10.0,10,20,2013-10-31T22:02:00Z,Make and share this Gemelli With Wilted Mustard Greens recipe from Food.com.,< 30 Mins,"""Easy""","c(""8"", ""1"", ""4"", ""8"", ""1/2"", ""1"", ""2"", ""1/2"")","c(""gemelli pasta"", ""olive oil"", ""garlic cloves"", ""sea salt"", ""lemon juice"", ""Dijon mustard"", ""parmesan cheese"")",,,331.3,8.2,2.8,11.0,542.2,50.0,5.7,3.6,15.6,4.0,,"c(""Cook pasta."", ""In large skillet over medium heat, heat oil. Add garlic and cook, stirring for 30 seconds. Add mustard greens and salt; cook, stirring for 2-3 minutes or until greens are wilted."", ""To the pasta, add greens, lemon juice, mustard and ¼ cup of the pasta water.  Cook, stirring over medium high heat until heated through. Stir in cheese."")"
359456,Braised Veal Breast,975779,ilovechocolate,150.0,30,180,2009-03-06T17:42:00Z,Make and share this Braised Veal Breast recipe from Food.com.,Veal,"c(""Meat"", ""< 4 Hours"")","c(""3 -4"", ""2"", ""1"", ""2"", ""2"", ""2 -3"", ""1"", ""3 -4"", ""1"", ""1"", NA, NA)","c(""canola oil"", ""onion"", ""carrots"", ""celery ribs"", ""garlic cloves"", ""dry white wine"", ""fresh sage"", ""fresh rosemary"", ""salt"", ""fresh ground black pepper"")",5.0,2.0,399.8,21.9,6.1,90.2,343.3,13.5,1.6,5.7,25.5,4.0,,"c(""Prepare the boneless veal breast by removing and discarding all visible fat.  Let the meat come to room temperature."", ""Roll the meat into a roll, tightly turning one edge inside and on top of itself, like a jellyroll.  Cut 4 or 5 12-inch lengths of kitchen twine and tie the roll so that it keeps its uniform shape."", ""Season the entire roll with salt and freshly ground black pepper."", ""Place a large French oven or braising pan (one that has a cover) over high heat.  Add the canola oil and heat for 30 seconds until shimmering."", 
""Add the meat and brown on all sides.  This will take about 10 minutes.  Don't rush this step because the browning adds important flavor to the dish."", ""Remove the meat to a plate and add the carrots, onion, celery and garlic to the pan.  Lower the meat to medium and cook until the vegetables soften, about 6 minutes."", ""Pour in the wine.  Let it boil, scraping the sides and bottom of the pan to remove all the brown bits."", ""Add 3 cups of chicken stock and bring to a boil, then immediately lower to a simmer.  Do not add any more salt or pepper at any point because through the cooking, the flavors will concentrate and the seasoning on the meat before you browned it will probably be enough.  You can also adjust for seasonings at the very end of the cooking."", 
""Return the meat to the pan.  If the meat isn't submerged at least half-way in the stock/wine mixture, add more stock until it is, up to one more cup."", ""Cover the pan and adjust the heat so that the liquid is at a low simmer.  Cook for 2 to 2 1/2 hours, turning the meat over at least once half-way through the cooking."", ""When the meat is tender and soft to your touch (press it with the tips of your fingers and make sure that it gives a bit), remove the veal roll from the cooking liquid and place on a plate.  Cover with foil to keep it warm."", 
""Turn the heat up under the remaining cooking liquid and bring to a boil and cook for 5 to 10 minutes until the liquid has reduced by half.  Check to see if it has reached a sauce-like thickness by dipping a teaspoon in the liquid, turn the spoon over and run your finger through the liquid coating the spoon.  If it leaves a clear mark, it has probably thickened enough."", ""Strain the liquid through a fine-holed sieve to remove the vegetables.  Return the sauce to the pan and add the minced herbs.  Taste for seasoning."", 
""Slice the meat into 1/2-inch pieces and drizzle the sauce over the slices or else pass the sauce in a separate serving dish."")"
501443,Chocolate Chip Pudding Mix Cookies,266635,DailyInspiration,10.0,20,30,2013-06-06T12:20:00Z,This recipe was given to me by a co-worker many years ago.  She used to bring these delicious cookies to share with us.  These cookies were gone in short order.,Drop Cookies,"c(""Dessert"", ""Cookie & Brownie"", ""Nuts"", ""Weeknight"", ""< 30 Mins"", ""For Large Groups"", ""Easy"")","c(""2 1/4"", ""1"", ""1/4"", ""3/4"", ""1"", ""1"", ""2"", ""1"", NA, ""1"")","c(""flour"", ""baking soda"", ""sugar"", ""light brown sugar"", ""margarine"", ""vanilla"", ""eggs"", ""instant pudding mix"", ""chocolate chips"")",,,168.7,8.1,1.7,15.5,217.3,22.3,0.3,13.2,1.8,,,"c(""Mix flour with baking soda.  Combine margarine, sugars, vanilla and pudding mix; beat until smooth and creamy.  Beat in eggs."", ""Gradually add flour mixture; then stir in chocolate chips and nuts (if using)."", ""Drop by teaspoonfuls on ungreased cookie sheet.  Bake at 375 degrees F. for 10 minutes."")"
391626,Cranberry Smoothie,424680,Sydney Mike,,2,2,2009-09-23T16:24:00Z,"From the 2007 cookbook, More Smoothies for Life, the original recipe calls for frozen berries -- At different times I've used both frozen cranberries AND frozen mixed berries, both resulting in great drinks! The cranberries do make for a somewhat tart drink, but we enjoy it!",Smoothies,"c(""Beverages"", ""Berries"", ""Fruit"", ""< 15 Mins"", ""Easy"")","c(""2"", ""2"", ""2"", ""2"")","c(""cranberry juice"", ""frozen cranberries"", ""artificial sweetener"")",4.5,5.0,182.6,0.4,0.0,0.0,14.2,46.4,4.6,34.1,0.4,,,"c(""Combine the ingredients in a blender & puree until smooth!"", ""Pour into 2 tall glasses & ENJOY!"")"
215854,Must-Go Soup,341435,RigelBee,40.0,10,50,2007-03-09T15:15:00Z,"You know the drill....  We all get to that point where everything in the refrigerator MUST GO!  Tomorrow is market day, so today I grabbed everything in the vegetable bin... What a pleasant surprise this was!",Lentil,"c(""Beans"", ""Vegetable"", ""Vegan"", ""< 60 Mins"", ""Easy"")","c(""2"", ""2"", ""1"", ""1"", ""5"", ""5"", ""1"", ""2/3"", ""2/3"", ""2"", ""32"", NA)","c(""olive oil"", ""sweet onions"", ""red bell pepper"", ""green bell pepper"", ""celery"", ""carrots"", ""white potato"", ""corn"", ""lentils"", ""roma tomatoes"", ""vegetable broth"")",,,233.4,7.8,1.1,0.0,181.1,37.0,9.3,11.7,6.9,4.0,,"c(""Saute onions, bell peppers, and celery in oil in large stock pot until tender."", ""Pour vegetable broth over sauteed vegetables.  Add carrots, potato, corn, and lentils.  Bring to a boil, then lower heat and allow soup to simmer about 30 minutes."", ""Add chopped tomatoes.  Season with salt and pepper.  Simmer another 10 minutes."")"
336148,Tomato Soup,779318,Raspberry lemonade,90.0,15,105,2008-11-10T18:57:00Z,"My son would only get a certain brand soup. After to moving to another country and not being able to find it, I started to play around until I found a soup my son would eat.
Sorry the seasoning is not exact.
If I am using for a dinner party, I use cream instead of milk.
I use stock cubes because I am not always able to get chicken stock in a carton or can.",Low Protein,"c(""Low Cholesterol"", ""Healthy"", ""< 4 Hours"")","c(""3"", ""1/2"", NA, ""1"", ""1"", NA, NA, ""1"", ""2"", ""2"", ""1"")","c(""cherry tomatoes"", ""onion"", ""olive oil"", ""brown sugar"", ""dry basil"", ""ground black pepper"", ""sea salt"", ""milk"", ""hot water"", ""Worcestershire sauce"")",,,62.2,1.5,0.8,4.4,313.9,10.8,2.2,6.4,2.8,8.0,,"c(""Cut all the tomatoes in half ( I remove the core)."", ""chop onion."", ""Place  tomatos and onion in a oven proof dish drizzel with oil."", ""Add  ground pepper. (I am generous with the pepper.) salt, basil and sugar."", ""cook at 350 for 90 minutes."", ""Remove from oven and leave to cool."", ""Place cooled tomato mix in a blender, blend until smooth."", ""Boil water and  2 cups to stock cubes."", ""Put Tomato mix in a sauce pan."", ""Add milk"", ""Add chicken stock."", ""Add dash of woster sauce."")"
101531,Virginia's Greek Tyropita,27783,HeatherFeather,60.0,20,80,2004-10-08T19:58:00Z,"The most delicious version I have ever eaten - this even beat the version I ate while in Greece. I attended a Greek festival at St Barbara Greek Orthodox Church in Orange CT, and the lady who prepared this dish was kind enough to share the recipe on the spot. She has made it so many times, she knows it by memory. She said that salt is not needed as the feta is already salty enough. NOTE: It is very important to use the correct size pan as specified in the instructions. Using a 9x13 pan will not produce the correct result.",Cheese,"c(""Greek"", ""European"", ""High In..."", ""Potluck"", ""Savory"", ""For Large Groups"", ""Oven"", ""< 4 Hours"")","c(""32"", ""32"", ""1"", ""8"", NA, ""16"", ""1/4"", NA)","c(""feta cheese"", ""cottage cheese"", ""parmesan cheese"", ""eggs"", ""ground black pepper"", ""phyllo pastry"", ""butter"", ""water"")",4.0,3.0,406.4,19.1,10.6,121.0,1034.6,38.1,1.3,2.0,19.2,24.0,,"c(""Preheat oven to 300°F."", ""Combine cheeses, eggs,and season to taste with about 1 tsp of pepper, mixing well to combine."", ""Lightly butter a large jelly roll pan or rectangular pan with low sides (about 11\"" x 14\"") and place a sheet or two of phyllo pastry to cover the pan."", ""Brush lightly again with butter, then repeat until you have 10 layers (go easy on the butter)."", ""Spread filling evenly in pan."", ""Top with another 10 layers of phyllo, tucking in and folding the corners, buttering each layer as before."", 
""Using a clean spray bottle filled with some cold water, gently mist the entire surface (this will produce a crispy top layer)."", ""Cut into 24 squares, then pop into the preheated oven and bake about 1 hour."")"
524783,Best-Ever Pumpkin Bread,1040152,headworms,45.0,25,70,2015-11-23T16:19:00Z,"This is the best pumpkin bread recipe I have ever found. I usually double the recipe in order to have enough to have some leftover on Thanksgiving. It is very moist and flavorful. This recipe is from a local newspaper article that was written in the early 2000's. If the source is ever found, I will update it and give credit where it is due.",Breads,"c(""Pumpkin"", ""Vegetable"", ""Thanksgiving"", ""For Large Groups"", ""< 4 Hours"")","c(""2"", ""1 1/2"", ""1"", ""1/2"", ""1/2"", ""1"", ""2"", ""2"", ""1"", ""2"", ""1 1/4"", ""5"", ""1/4"")","c(""flour"", ""baking soda"", ""salt"", ""ground cloves"", ""nutmeg"", ""baking powder"", ""cinnamon"", ""white sugar"", ""brown sugar"", ""canned pumpkin"", ""eggs"", ""butter"")",,,369.9,19.3,4.1,58.5,366.2,47.5,1.4,35.0,3.5,,2 Loaves,"c(""Preheat the oven to 325 degrees."", ""In a medium bowl, sift the dry ingredients (flour, baking soda, salt, ground cloves, nutmeg, baking powder, cinnamon) together."", ""In a large bowl, combine the sugar & wet ingredients (white sugar, brown sugar, canned pumpkin, vegetable oil, eggs) and blend until smooth."", ""Stir in the dry ingredients into the wet ingredients and blend until smooth."", ""Butter two 9\""x5\"" loaf pans using the spreadable butter."", ""Pour the mix into the buttered pan."", ""Bake until toothpick inserted into the center comes out clean."", 
""Start checking after 45 minutes."")"
